source,target
Indie Rock,Indie-rock
Indie Rock,Indie-Rock
Indie Rock,Indie rock
Indie Rock,indie rock
Hip Hop,Hip-hop
Hip Hop,"R&B, Hip Hop"
Hip Hop,Hip-Hop & R&B
Hip Hop,hip hop
Hip Hop,"hip-hop, R&B"
Hip Hop,"Hip-Hop, Classical"
Hip Hop,Female hip-hop
Hip Hop,"R&B, Hip-hop"
Hip Hop,"Hip-Hop, R&B"
Hip Hop,"R&B, hip-hop"
Hip Hop,Hip-Hop
Hip Hop,"Hip-hop, R&B, Soulection, House"
Hip Hop,Hip hop
Hip Hop,"Hip-hop, R&B"
Hip Hop,"Hip Hop, R&B"
Hip Hop,"hip hop, R&B"
Hip Hop,"R&B, Hip-Hop"
Blues,"Blues, R&B"
Blues,"R&B, Blues"
Music & Performances,"Authors, Music & Performances"
Music & Performances,"music performances, live music"
Music & Performances,"music, performances, festivals"
"R&B, Hip-hop",Hip-hop
"R&B, Hip-hop","R&B, Hip Hop"
"R&B, Hip-hop",Hip-Hop & R&B
"R&B, Hip-hop",hip hop
"R&B, Hip-hop","hip-hop, R&B"
"R&B, Hip-hop","hip hop, R&B"
"R&B, Hip-hop","Hip-Hop, Classical"
"R&B, Hip-hop",Female hip-hop
"R&B, Hip-hop","R&B, hip-hop"
"R&B, Hip-hop","Hip-Hop, R&B"
"R&B, Hip-hop",Hip-Hop
"R&B, Hip-hop","Hip-hop, R&B, Soulection, House"
"R&B, Hip-hop",Hip hop
"R&B, Hip-hop","Hip-hop, R&B"
"R&B, Hip-hop","Hip Hop, R&B"
"R&B, Hip-hop","R&B, Hip-Hop"
"Americana, Folk, Rock, Pop, Jazz, Alt-Country","Indie, Americana, Folk, Rock, Pop, Jazz, Alt-Country"
"Americana, Folk, Rock, Pop, Jazz, Alt-Country","Americana, folk, rock, pop, jazz, alt-country"
"Americana, Folk, Rock, Pop, Jazz, Alt-Country","Indie music, Americana, Folk, Rock, Pop, Jazz, Alt-country"
Comedy,comedy
Cabaret,"Cabaret, Country"
"Hip Hop, R&B, Reggae, Dancehall, Soca, Classic House","R&B, Reggae, Dancehall, Soca, Classic House, Hip Hop"
"Hip Hop, R&B, Reggae, Dancehall, Soca, Classic House","R&B, Reggae, Dancehall, Soca, Classic House"
Art,"skincare, art, training"
Art,Collage Art
Art,"Art, Tattoos"
Art,"Art, Paranormal"
Art,"Art, Auction"
Alternative Folk,Alternative Folk-rock
Alternative Folk,Alternative Folk-Rock
Alternative Folk,"Alternative, Folk Rock"
Alternative Rock,"Alternative, Rock"
Alternative Rock,"Alternative, Rock, R&B"
Alternative Rock,Alternative rock
"mindfulness, yoga, meditation","Yoga, Meditation"
"mindfulness, yoga, meditation","Yoga, Meditation, Pilates"
"Reggae, Rock",Reggae/Rock
"Reggae, Rock",Reggae-rock
"Reggae, Rock",Reggae rock
Music,Devotional Music
Music,music
Music,"Music, Kindie"
Music,Music Creation
Music,"Music, Parades"
Music,Cafe Music
Music,Vietnamese music
Music,Handbell Music
"Electronic, Hip-Hop","Electronic, Hip-hop"
"Electronic, Hip-Hop","R&B, electronic, hip-hop"
Pop,K-pop
Pop,Pop psicodélico
Pop,POP
